2018-03-27 11:11:38,012 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:12:16,346 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:12:16,348 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:12:16,358 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:12:16,359 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:12:57,909 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:12:57,921 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:12:57,925 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:12:57,926 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:14:43,804 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:14:43,828 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-27 11:14:43,833 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:14:43,834 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:14:56,786 [Worker-13] INFO  j.exodus.env.EnvironmentImpl - Exodus environment created: /home/indic/Documents/workspace_git27/.metadata/com.genuitec.eclipse.webclipse.livepreview/0/store
2018-03-27 11:14:58,080 [Worker-13] INFO  j.exodus.env.EnvironmentImpl - Exodus environment created: /home/indic/Documents/workspace_git27/.metadata/com.genuitec.eclipse.webclipse.livepreview/1/store
2018-03-27 11:15:07,806 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:15:07,808 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:15:07,813 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:15:07,814 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:16:50,699 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:16:50,704 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:16:50,714 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:16:50,715 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:17:58,294 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:17:58,296 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:17:58,303 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:17:58,304 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:18:04,007 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:04,012 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:18:04,078 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:04,079 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:18:05,337 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:05,339 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:18:05,345 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:05,346 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:18:06,566 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:06,568 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:18:06,573 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:06,574 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:18:07,716 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:07,718 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:18:07,724 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:07,725 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:18:08,865 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:08,867 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:18:08,871 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:08,872 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
